drink,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts,Milk
Chocolate McCafé® Shake (12 fl oz cup),580,150,17,10,1,50,240,94,1,77,11,656,Milkshake
Chocolate McCafé® Shake (16 fl oz cup),720,180,20,12,1,60,300,119,1,98,15,815,Milkshake
Chocolate McCafé® Shake (22 fl oz cup),880,220,24,15,1.5,75,370,147,1,121,18,998,Milkshake
Chocolate Triple Thick® Shake (12 fl oz cup),440,90,10,6,0.5,40,190,76,1,63,10,499,Milkshake
Chocolate Triple Thick® Shake (16 fl oz cup),580,120,14,8,1,50,250,102,1,84,13,659,Milkshake
Chocolate Triple Thick® Shake (21 fl oz cup),770,160,18,11,1,70,330,134,1,111,18,874,Milkshake
Chocolate Triple Thick® Shake (32 fl oz cup),1160,240,27,16,2,100,510,203,2,168,27,1317,Milkshake
Snack Size McFlurry® with M&M’S® Candies,430,140,16,10,0.5,35,130,64,2,59,9,490,NA
Snack Size McFlurry® with OREO® Cookies,340,100,12,6,0,30,200,53,2,43,8,381,NA
Strawberry McCafé® Shake (12 fl oz cup),570,150,17,10,1,50,170,92,0,79,11,648,Milkshake
Strawberry McCafé® Shake (16 fl oz cup),710,180,20,12,1,65,210,116,0,100,14,808,Milkshake
Strawberry McCafé® Shake (22 fl oz cup),860,220,24,15,1.5,75,260,144,0,124,18,981,Milkshake
Strawberry Triple Thick® Shake (12 fl oz cup),420,90,10,6,0.5,40,130,73,0,63,10,479,Milkshake
Strawberry Triple Thick® Shake (16 fl oz cup),560,120,13,8,1,50,170,97,0,84,13,639,Milkshake
Strawberry Triple Thick® Shake (21 fl oz cup),740,160,18,11,1,70,230,128,0,111,17,845,Milkshake
Strawberry Triple Thick® Shake (32 fl oz cup),1110,240,26,16,2,100,350,194,0,168,25,1269,Milkshake
Vanilla McCafé® Shake (12 fl oz cup),540,150,16,10,1,45,170,88,0,64,10,604,Milkshake
Vanilla McCafé® Shake (16 fl oz cup),680,180,20,12,1,60,220,111,0,82,14,760,Milkshake
Vanilla McCafé® Shake (22 fl oz cup),830,210,24,14,1.5,75,270,138,0,103,17,930,Milkshake
Vanilla Triple Thick Shake® (32 fl oz cup),1110,240,26,16,2,100,370,193,0,145,25,1246,Milkshake
Vanilla Triple Thick® Shake (12 fl oz cup),420,90,10,6,0.5,40,140,72,0,54,9,471,Milkshake
Vanilla Triple Thick® Shake (16 fl oz cup),550,120,13,8,1,50,190,96,0,72,13,617,Milkshake
Vanilla Triple Thick® Shake (21 fl oz cup),740,160,18,11,1,70,250,128,0,96,17,830,Milkshake
1% Low Fat Milk Jug,100,20,2.5,1.5,0,10,125,12,0,12,8,105.5,NA
1% Low Fat Chocolate Milk Jug,170,25,3,1.5,0,5,150,26,1,25,9,187.5,NA
Minute Maid® 100% Apple Juice Box,100,0,0,0,0,0,15,23,0,22,0,122,NA
Dasani® Water,0,0,0,0,0,0,0,0,0,0,0,0,NA
Minute Maid® Orange Juice (Small),150,0,0,0,0,0,0,30,0,30,2,178,NA
Minute Maid® Orange Juice (Medium),190,0,0,0,0,0,0,39,0,39,3,226,NA
Minute Maid® Orange Juice (Large),280,0,0,0,0,0,5,58,0,58,4,334,NA
Coca-Cola® Classic (Child),110,0,0,0,0,0,5,29,0,29,0,139,NA
Coca-Cola® Classic (Small),150,0,0,0,0,0,10,40,0,40,0,190,NA
